Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2 Voltage,CH2 Current,CH2 Time
1,1,1,999.99600E-003,7.20460E-009,120.13700E-003,-60.00000E+000,-201.00000E-012,9.98900E-003
1,1,2,999.99900E-003,9.02740E-009,241.16200E-003,-59.39700E+000,-1.39600E-009,142.55300E-003
1,1,3,1.00000E+000,8.84950E-009,361.89900E-003,-58.79400E+000,-1.07500E-009,262.63100E-003
1,1,4,1.00000E+000,9.65300E-009,482.62700E-003,-58.19100E+000,-847.00000E-012,383.36800E-003
1,1,5,1.00000E+000,9.44440E-009,603.37200E-003,-57.58790E+000,-40.00000E-012,507.61200E-003
1,1,6,1.00000E+000,10.71900E-009,724.19700E-003,-56.98490E+000,115.00000E-012,628.33700E-003
1,1,7,999.99800E-003,10.33090E-009,845.67300E-003,-56.38190E+000,461.00000E-012,749.09500E-003
1,1,8,999.99600E-003,11.11990E-009,966.41800E-003,-55.77890E+000,15.00000E-012,871.77400E-003
1,1,9,1.00000E+000,11.67540E-009,1.08715E+000,-55.17590E+000,1.08800E-009,987.78400E-003
1,1,10,999.99700E-003,13.00960E-009,1.20790E+000,-54.57290E+000,139.00000E-012,1.11208E+000
1,1,11,1.00000E+000,12.61030E-009,1.32865E+000,-53.96980E+000,906.00000E-012,1.22940E+000
1,1,12,999.99500E-003,13.41760E-009,1.44953E+000,-53.36680E+000,-267.00000E-012,1.35400E+000
1,1,13,999.99600E-003,13.35780E-009,1.57026E+000,-52.76380E+000,-1.03900E-009,1.47623E+000
1,1,14,1.00000E+000,13.42570E-009,1.69102E+000,-52.16080E+000,417.00000E-012,1.59176E+000
1,1,15,1.00001E+000,14.83820E-009,1.81175E+000,-51.55780E+000,289.00000E-012,1.71254E+000
1,1,16,999.99900E-003,15.41060E-009,1.93263E+000,-50.95480E+000,-1.02700E-009,1.83663E+000
1,1,17,1.00000E+000,15.36580E-009,2.05710E+000,-50.35180E+000,-204.00000E-012,1.95415E+000
1,1,18,999.99400E-003,16.41390E-009,2.17787E+000,-49.74870E+000,-723.00000E-012,2.07861E+000
1,1,19,1.00000E+000,17.62670E-009,2.29864E+000,-49.14570E+000,-353.00000E-012,2.20280E+000
1,1,20,999.99600E-003,17.96220E-009,2.41939E+000,-48.54270E+000,-543.00000E-012,2.32014E+000
