Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time
1,1,106,10.00000E+000,1.18090E-006,12.92186E+000
1,1,107,10.00000E+000,1.18897E-006,13.04374E+000
1,1,108,10.00000E+000,1.19710E-006,13.16560E+000
1,1,109,10.00000E+000,1.19147E-006,13.28749E+000
1,1,110,10.00000E+000,1.19615E-006,13.40935E+000
1,1,111,10.00000E+000,1.18925E-006,13.53121E+000
1,1,112,10.00000E+000,1.19276E-006,13.65313E+000
1,1,113,10.00000E+000,1.18367E-006,13.77499E+000
1,1,114,10.00000E+000,1.19563E-006,13.89692E+000
1,1,115,10.00000E+000,1.19427E-006,14.01884E+000
1,1,116,10.00000E+000,1.19887E-006,14.14069E+000
1,1,117,10.00000E+000,1.19584E-006,14.26263E+000
1,1,118,10.00000E+000,1.18501E-006,14.38449E+000
1,1,119,10.00000E+000,1.19925E-006,14.50640E+000
1,1,120,10.00000E+000,1.20029E-006,14.62830E+000
1,1,121,10.00000E+000,1.20394E-006,14.75015E+000
1,1,122,10.00000E+000,1.18890E-006,14.87203E+000
1,1,123,10.00000E+000,1.18404E-006,14.99395E+000
1,1,124,10.00000E+000,1.18578E-006,15.11580E+000
1,1,125,10.00000E+000,1.19156E-006,15.23771E+000
1,1,126,10.00000E+000,1.18679E-006,15.35958E+000
1,1,127,10.00000E+000,1.19235E-006,15.48239E+000
1,1,128,10.00000E+000,1.20015E-006,15.60434E+000
1,1,129,10.00000E+000,1.18981E-006,15.72619E+000
1,1,130,10.00000E+000,1.19375E-006,15.84807E+000
1,1,131,10.00000E+000,1.19349E-006,15.96995E+000
1,1,132,10.00000E+000,1.19595E-006,16.09188E+000
1,1,133,10.00000E+000,1.20337E-006,16.21379E+000
1,1,134,10.00000E+000,1.20093E-006,16.33568E+000
1,1,135,10.00000E+000,1.18841E-006,16.45751E+000
1,1,136,10.00000E+000,1.20153E-006,16.57941E+000
1,1,137,10.00000E+000,1.19622E-006,16.70129E+000
1,1,138,10.00000E+000,1.18593E-006,16.82315E+000
1,1,139,10.00000E+000,1.19387E-006,16.94500E+000
