Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time
1,1,1,10.00000E+000,1.22176E-006,118.90500E-003
1,1,2,10.00000E+000,1.22519E-006,240.90300E-003
1,1,3,10.00000E+000,1.22104E-006,362.82100E-003
1,1,4,10.00000E+000,1.21413E-006,484.68300E-003
1,1,5,10.00000E+000,1.23559E-006,606.60000E-003
1,1,6,10.00000E+000,1.22696E-006,728.47400E-003
1,1,7,10.00000E+000,1.22960E-006,850.35600E-003
1,1,8,10.00000E+000,1.22710E-006,972.20000E-003
1,1,9,10.00000E+000,1.22977E-006,1.09405E+000
1,1,10,10.00000E+000,1.22303E-006,1.21591E+000
1,1,11,10.00000E+000,1.23551E-006,1.33778E+000
1,1,12,10.00000E+000,1.22328E-006,1.45966E+000
1,1,13,10.00000E+000,1.22134E-006,1.58236E+000
1,1,14,10.00000E+000,1.22757E-006,1.70427E+000
1,1,15,10.00000E+000,1.23115E-006,1.82616E+000
1,1,16,10.00000E+000,1.21963E-006,1.94809E+000
1,1,17,10.00000E+000,1.20964E-006,2.06996E+000
1,1,18,10.00000E+000,1.22620E-006,2.19182E+000
1,1,19,10.00000E+000,1.22075E-006,2.31375E+000
1,1,20,10.00000E+000,1.22724E-006,2.43568E+000
1,1,21,10.00000E+000,1.23168E-006,2.55755E+000
1,1,22,10.00000E+000,1.23084E-006,2.67943E+000
1,1,23,10.00000E+000,1.22191E-006,2.80129E+000
1,1,24,10.00000E+000,1.22899E-006,2.92319E+000
1,1,25,10.00000E+000,1.22204E-006,3.04515E+000
1,1,26,10.00000E+000,1.21815E-006,3.16703E+000
1,1,27,10.00000E+000,1.21520E-006,3.28892E+000
1,1,28,10.00000E+000,1.21997E-006,3.41080E+000
1,1,29,10.00000E+000,1.22930E-006,3.53272E+000
1,1,30,10.00000E+000,1.21734E-006,3.65457E+000
1,1,31,10.00000E+000,1.21573E-006,3.77642E+000
1,1,32,10.00000E+000,1.23291E-006,3.89874E+000
1,1,33,10.00000E+000,1.23594E-006,4.02072E+000
1,1,34,10.00000E+000,1.21525E-006,4.14259E+000
1,1,35,10.00000E+000,1.22243E-006,4.26444E+000
1,1,36,10.00000E+000,1.21542E-006,4.38637E+000
1,1,37,10.00000E+000,1.22379E-006,4.50823E+000
1,1,38,10.00000E+000,1.22201E-006,4.63013E+000
1,1,39,10.00000E+000,1.21967E-006,4.75199E+000
1,1,40,10.00000E+000,1.21752E-006,4.87384E+000
1,1,41,10.00000E+000,1.22873E-006,4.99571E+000
1,1,42,10.00000E+000,1.21348E-006,5.11757E+000
1,1,43,10.00000E+000,1.20454E-006,5.23974E+000
1,1,44,10.00000E+000,1.20498E-006,5.36198E+000
1,1,45,10.00000E+000,1.19981E-006,5.48391E+000
1,1,46,10.00000E+000,1.20940E-006,5.60587E+000
1,1,47,10.00000E+000,1.19859E-006,5.72783E+000
1,1,48,10.00000E+000,1.20331E-006,5.84971E+000
1,1,49,10.00000E+000,1.20865E-006,5.97164E+000
1,1,50,10.00000E+000,1.20338E-006,6.09352E+000
1,1,51,10.00000E+000,1.21255E-006,6.21540E+000
1,1,52,10.00000E+000,1.21422E-006,6.33730E+000
1,1,53,10.00000E+000,1.21918E-006,6.45920E+000
1,1,54,10.00000E+000,1.21836E-006,6.58106E+000
1,1,55,10.00000E+000,1.21306E-006,6.70293E+000
1,1,56,10.00000E+000,1.21415E-006,6.82478E+000
1,1,57,10.00000E+000,1.19796E-006,6.94672E+000
1,1,58,10.00000E+000,1.20663E-006,7.06857E+000
1,1,59,10.00000E+000,1.20571E-006,7.19042E+000
1,1,60,10.00000E+000,1.21341E-006,7.31227E+000
1,1,61,10.00000E+000,1.23267E-006,7.43417E+000
1,1,62,10.00000E+000,1.21777E-006,7.55605E+000
1,1,63,10.00000E+000,1.22429E-006,7.67791E+000
1,1,64,10.00000E+000,1.22153E-006,7.79975E+000
1,1,65,10.00000E+000,1.22188E-006,7.92163E+000
1,1,66,10.00000E+000,1.21630E-006,8.04358E+000
1,1,67,10.00000E+000,1.21047E-006,8.16547E+000
1,1,68,10.00000E+000,1.21233E-006,8.28738E+000
1,1,69,10.00000E+000,1.21373E-006,8.40922E+000
